size     iter       time                    comment
30 		 0 		 1.393 	 probabilty dependant on attaches 

30 		 100 		 2.401 	 probabilty dependant on attaches 

30 		 300 		 6.913 	 probabilty dependant on attaches 

30 		 500 		 15.072 	 probabilty dependant on attaches 

30 		 1000 		 47.652 	 probabilty dependant on attaches 

30 		 0 		 1.399 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.380 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.812 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.615 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 47.248 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.469 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.525 	 Base=5 probabilty dependant on attaches 

30 		 300 		 7.179 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.922 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 47.781 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.688 	 Base=5 probabilty dependant on attaches 

30 		 100 		 3.025 	 Base=5 probabilty dependant on attaches 

30 		 300 		 8.971 	 Base=5 probabilty dependant on attaches 

30 		 500 		 19.538 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 63.650 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.680 	 Base=5 probabilty dependant on attaches 

30 		 100 		 3.087 	 Base=5 probabilty dependant on attaches 

30 		 300 		 9.292 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.414 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.459 	 Base=5 probabilty dependant on attaches 

30 		 300 		 7.072 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.684 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 47.748 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.414 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.457 	 Base=5 probabilty dependant on attaches 

30 		 300 		 7.036 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.623 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 46.039 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.378 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.436 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.755 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.780 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 46.179 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.391 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.464 	 Base=5 probabilty dependant on attaches 

30 		 300 		 7.034 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.796 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 46.173 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.391 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.460 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.987 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.520 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 45.257 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.405 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.542 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.868 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.521 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 45.288 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.399 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.444 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.995 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.751 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 43.967 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.416 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.471 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.855 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.482 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 46.013 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.452 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.466 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.935 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.652 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 43.812 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.388 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.456 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.832 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.247 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 43.984 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.426 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.393 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.523 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.881 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.609 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 42.521 	 Base=5 probabilty dependant on attaches 

30 		 10 		 1.476 	 Base=5 probabilty dependant on attaches 

30 		 10 		 1.493 	 Base=5 probabilty dependant on attaches 

30 		 500 		 14.646 	 Base=5 probabilty dependant on attaches 

30 		 500 		 13.081 	 Base=5 probabilty dependant on attaches 

30 		 500 		 12.511 	 Base=5 probabilty dependant on attaches 

30 		 500 		 13.079 	 Base=5 probabilty dependant on attaches 

30 		 500 		 12.888 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.398 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.355 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.441 	 Base=5 probabilty dependant on attaches 

30 		 100 		 2.350 	 Base=5 probabilty dependant on attaches 

30 		 300 		 6.200 	 Base=5 probabilty dependant on attaches 

30 		 500 		 12.745 	 Base=5 probabilty dependant on attaches 

30 		 1000 		 37.755 	 Base=5 probabilty dependant on attaches 

30 		 0 		 1.446 	 Base=1.5 probabilty dependant on attaches 

30 		 100 		 2.403 	 Base=1.5 probabilty dependant on attaches 

30 		 300 		 6.486 	 Base=1.5 probabilty dependant on attaches 

30 		 500 		 12.241 	 Base=1.5 probabilty dependant on attaches 

30 		 1000 		 38.637 	 Base=1.5 probabilty dependant on attaches 

30 		 0 		 1.413 	 Base=1.5 probabilty dependant on attaches 

30 		 100 		 2.368 	 Base=1.5 probabilty dependant on attaches 

30 		 300 		 6.330 	 Base=1.5 probabilty dependant on attaches 

30 		 500 		 12.765 	 Base=1.5 probabilty dependant on attaches 

30 		 1000 		 37.957 	 Base=1.5 probabilty dependant on attaches 

30 		 0 		 1.396 	 Base=5 attach_prob, big iters 

30 		 100 		 2.336 	 Base=5 attach_prob, big iters 

30 		 300 		 6.511 	 Base=5 attach_prob, big iters 

30 		 500 		 13.035 	 Base=5 attach_prob, big iters 

30 		 1000 		 41.775 	 Base=5 attach_prob, big iters 

30 		 2000 		 147.664 	 Base=5 attach_prob, big iters 

30 		 5000 		 861.249 	 Base=5 attach_prob, big iters 

30 		 0 		 1.409 	 Base=5 attach_prob, big iters 

30 		 100 		 2.354 	 Base=5 attach_prob, big iters 

30 		 300 		 6.309 	 Base=5 attach_prob, big iters 

30 		 500 		 13.340 	 Base=5 attach_prob, big iters 

30 		 1000 		 41.914 	 Base=5 attach_prob, big iters 

30 		 2000 		 143.696 	 Base=5 attach_prob, big iters 

50 		 0 		 6.126 	 Base=5 attach_prob, big iters 

50 		 100 		 6.917 	 Base=5 attach_prob, big iters 

50 		 300 		 10.811 	 Base=5 attach_prob, big iters 

50 		 500 		 17.786 	 Base=5 attach_prob, big iters 

50 		 1000 		 46.686 	 Base=5 attach_prob, big iters 

50 		 2000 		 149.818 	 Base=5 attach_prob, big iters 

50 		 5000 		 834.439 	 Base=5 attach_prob, big iters 

50 		 10000 		 3065.547 	 Base=5 attach_prob, big iters 

50 		 500 		 17.915 	 Base=5 attach_prob, big iters 

50 		 500 		 18.286 	 Base=5 attach_prob, big iters 

50 		 500 		 18.250 	 Base=5 attach_prob, big iters 

30 		 500 		 13.498 	 Base=5 attach_prob, big iters 

30 		 500 		 13.535 	 Base=5 attach_prob, big iters 

40 		 500 		 14.728 	 Base=5 attach_prob, big iters 

40 		 500 		 14.991 	 Base=5 attach_prob, big iters 

40 		 500 		 16.126 	 Base=5 attach_prob, big iters 

40 		 500 		 16.692 	 Base=5 attach_prob, big iters 

40 		 500 		 17.120 	 Base=5 attach_prob, big iters 

40 		 500 		 16.433 	 Base=5 attach_prob, big iters 

40 		 500 		 15.273 	 Base=5 attach_prob, big iters 

40 		 500 		 15.137 	 Base=5 attach_prob, big iters 

40 		 500 		 15.397 	 Base=5 attach_prob, big iters 

40 		 500 		 15.504 	 Base=5 attach_prob, big iters 

40 		 500 		 15.622 	 Base=5 attach_prob, big iters 

40 		 500 		 15.232 	 Base=5 attach_prob, big iters 

40 		 500 		 15.564 	 Base=5 attach_prob, big iters 

40 		 500 		 14.746 	 Base=5 attach_prob, big iters 

40 		 500 		 15.139 	 Base=5 attach_prob, big iters 

40 		 500 		 15.513 	 Base=5 attach_prob, big iters 

40 		 500 		 9.773 	 Base=5 attach_prob, big iters 

40 		 1000 		 25.215 	 Base=5 attach_prob, big iters 

40 		 1000 		 22.799 	 Base=5 attach_prob, big iters 

40 		 1000 		 22.442 	 Base=5 attach_prob, big iters 

40 		 5000 		 449.179 	 Base=5 attach_prob, big iters 

40 		 100 		 3.454 	 Base=5 attach_prob, big iters 

40 		 0 		 3.070 	 Base=5 attach_prob, big iters 

40 		 10000 		 1742.501 	 Base=5 attach_prob, big iters 

40 		 10 		 3.264 	 Base=5 attach_prob, big iters 

40 		 10 		 3.861 	 Base=5 attach_prob, big iters 

40 		 100 		 7.229 	 Base=5 attach_prob, big iters 

40 		 0 		 3.691 	 Base=5 new diag NN 

40 		 0 		 3.630 	 Base=5 new diag NN 

40 		 100 		 7.655 	 Base=5 new diag NN 

40 		 300 		 20.630 	 Base=5 new diag NN 

40 		 500 		 41.731 	 Base=5 new diag NN 

40 		 1000 		 148.558 	 Base=5 new diag NN 

40 		 2000 		 575.981 	 Base=5 new diag NN 

40 		 5000 		 2793.823 	 Base=5 new diag NN 

40 		 10000 		 14115.419 	 Base=5 new diag NN 

30 		 100 		 10.516 	 Base=4 new diag NN 

10 		 1 		 0.822 	 Base=4 new diag NN 

10 		 1 		 0.768 	 Base=4 new diag NN 

10 		 1 		 0.806 	 Base=4 new diag NN 

10 		 1 		 0.743 	 Base=4 new diag NN 

10 		 1 		 0.734 	 Base=4 new diag NN 

30 		 1000 		 132.145 	 Base=4 new diag NN 

30 		 1000 		 21.883 	 Base=4 new diag NN 

30 		 2000 		 30.058 	 Base=4 new diag NN 

50 		 10000 		 229.800 	 Base=4, time:exp-->lin 

60 		 0 		 13.695 	 Base=8, time:exp-->lin 

60 		 0 		 12.975 	 Base=8, time:exp-->lin 

60 		 100 		 14.986 	 Base=8, time:exp-->lin 

60 		 300 		 17.708 	 Base=8, time:exp-->lin 

60 		 500 		 19.637 	 Base=8, time:exp-->lin 

60 		 1000 		 27.156 	 Base=8, time:exp-->lin 

60 		 2000 		 42.439 	 Base=8, time:exp-->lin 

60 		 5000 		 82.183 	 Base=8, time:exp-->lin 

60 		 10000 		 193.599 	 Base=8, time:exp-->lin 

60 		 0 		 15.721 	 Base=8, time:exp-->lin 

60 		 100 		 17.752 	 Base=8, time:exp-->lin 

60 		 500 		 24.569 	 Base=8, time:exp-->lin 

60 		 1000 		 32.610 	 Base=8, time:exp-->lin 

60 		 2000 		 45.495 	 Base=8, time:exp-->lin 

60 		 5000 		 93.695 	 Base=8, time:exp-->lin 

60 		 10000 		 199.340 	 Base=8, time:exp-->lin 

60 		 20000 		 520.863 	 Base=8, time:exp-->lin 

60 		 0 		 13.448 	 Base=2, time:exp-->lin 

60 		 100 		 15.182 	 Base=2, time:exp-->lin 

60 		 500 		 21.355 	 Base=2, time:exp-->lin 

60 		 1000 		 28.611 	 Base=2, time:exp-->lin 

60 		 2000 		 42.450 	 Base=2, time:exp-->lin 

60 		 5000 		 94.041 	 Base=2, time:exp-->lin 

60 		 10000 		 189.098 	 Base=2, time:exp-->lin 

60 		 20000 		 476.295 	 Base=2, time:exp-->lin 

30 		 0 		 3.039 	 Base=2, time:exp-->lin 

30 		 0 		 3.068 	 Base=2, time:exp-->lin 

30 		 0 		 3.044 	 Base=2, time:exp-->lin 

30 		 500 		 15.074 	 Base=2, time:exp-->lin 

30 		 500 		 14.672 	 Base=2, time:exp-->lin 

40 		 0 		 3.580 	 Base=4, time:exp-->lin 

40 		 100 		 4.886 	 Base=4, time:exp-->lin 

40 		 300 		 7.519 	 Base=4, time:exp-->lin 

40 		 500 		 11.466 	 Base=4, time:exp-->lin 

40 		 1000 		 19.918 	 Base=4, time:exp-->lin 

40 		 2000 		 33.320 	 Base=4, time:exp-->lin 

40 		 5000 		 69.785 	 Base=4, time:exp-->lin 

40 		 10000 		 145.077 	 Base=4, time:exp-->lin 

40 		 10 		 4.191 	 Base=4, time:exp-->lin 

20 		 10 		 0.579 	 Base=4, time:exp-->lin 

20 		 1 		 0.465 	 Base=4, time:exp-->lin 

20 		 10 		 0.547 	 Base=4, time:exp-->lin 

20 		 10 		 0.555 	 Base=4, time:exp-->lin 

20 		 10 		 1.262 	 Base=4, time:exp-->lin 

20 		 10 		 1.283 	 Base=4, time:exp-->lin 

20 		 10 		 1.244 	 Base=4, time:exp-->lin 

20 		 10 		 1.285 	 Base=4, time:exp-->lin 

20 		 1 		 0.972 	 Base=4, time:exp-->lin 

20 		 0 		 0.444 	 Base=4, time:exp-->lin 

20 		 1 		 0.444 	 Base=4, time:exp-->lin 

20 		 100 		 2.336 	 Base=4, time:exp-->lin 

20 		 100 		 2.280 	 Base=4, time:exp-->lin 

20 		 100 		 2.333 	 Base=4, time:exp-->lin 

20 		 100 		 2.361 	 Base=4, time:exp-->lin 

20 		 100 		 2.345 	 Base=4, time:exp-->lin 

20 		 100 		 2.342 	 Base=4, time:exp-->lin 

20 		 0 		 1.583 	 Base=5, time:exp-->lin 

20 		 100 		 10.970 	 Base=5, time:exp-->lin 

20 		 0 		 1.657 	 Base=5, time:exp-->lin 

20 		 100 		 8.352 	 Base=5, time:exp-->lin 

20 		 300 		 29.699 	 Base=5, time:exp-->lin 

20 		 500 		 57.501 	 Base=5, time:exp-->lin 

20 		 1000 		 178.145 	 Base=5, time:exp-->lin 

20 		 2000 		 529.868 	 Base=5, time:exp-->lin 

50 		 0 		 7.036 	 Base=5, time:exp-->lin 

50 		 100 		 14.902 	 Base=5, time:exp-->lin 

50 		 300 		 40.698 	 Base=5, time:exp-->lin 

50 		 10 		 6.060 	 Base=5, time:exp-->lin 

30 		 10 		 1.330 	 Base=5, time:exp-->lin 

30 		 10 		 1.367 	 Base=5, time:exp-->lin 

30 		 10 		 1.440 	 Base=5, time:exp-->lin 

30 		 100 		 10.555 	 Base=5, time:exp-->lin 

30 		 10 		 2.938 	 time:exp-->lin 

30 		 10 		 2.868 	 time:exp-->lin 

30 		 10 		 2.954 	 time:exp-->lin 

30 		 5000 		 1824.108 	 Base=5, time:exp-->lin 

30 		 10 		 1.548 	 time:exp-->lin 

30 		 5 		 1.569 	 time:exp-->lin 

30 		 5 		 1.449 	 time:exp-->lin 

30 		 500 		 6.234 	 time:exp-->lin 

40 		 1000 		 24.326 	 time:exp-->lin 

40 		 500 		 8.445 	 time:exp-->lin 

40 		 500 		 8.619 	 time:exp-->lin 

40 		 500 		 8.777 	 time:exp-->lin 

40 		 500 		 8.842 	 time:exp-->lin 

40 		 500 		 8.788 	 time:exp-->lin 

40 		 500 		 8.939 	 time:exp-->lin 

40 		 500 		 8.816 	 time:exp-->lin 

40 		 500 		 8.810 	 time:exp-->lin 

40 		 500 		 8.787 	 time:exp-->lin 

40 		 0 		 3.167 	 one loop check 

50 		 0 		 6.124 	 one loop check 

50 		 100 		 6.639 	 one loop check 

50 		 300 		 8.458 	 one loop check 

50 		 500 		 12.526 	 one loop check 

50 		 1000 		 26.465 	 one loop check 

50 		 2000 		 78.556 	 one loop check 

50 		 5000 		 406.333 	 one loop check 

50 		 10000 		 1531.338 	 one loop check 

50 		 0 		 6.024 	 one loop check 

50 		 100 		 6.431 	 one loop check 

50 		 300 		 8.250 	 one loop check 

50 		 500 		 11.174 	 one loop check 

50 		 1000 		 26.863 	 one loop check 

50 		 2000 		 78.253 	 one loop check 

50 		 5000 		 430.948 	 one loop check 

50 		 10000 		 1574.779 	 one loop check 

20 		 5 		 0.539 	 one loop check 

20 		 5 		 0.539 	 one loop check 

20 		 5 		 0.543 	 one loop check 

20 		 5 		 0.546 	 one loop check 

20 		 5 		 0.543 	 one loop check 

20 		 5 		 0.558 	 one loop check 

20 		 5 		 0.559 	 one loop check 

20 		 5 		 0.553 	 one loop check 

20 		 5 		 0.582 	 one loop check 

20 		 5 		 0.580 	 one loop check 

20 		 5 		 0.530 	 one loop check 

